"","player_id","team_id","player_season_appearances","player_season_minutes"
"1",51105,2291,10,787.3667
"2",442084,19538,9,884.2333
"3",43422,1922,7,418.2167
"4",124866,19573,6,172.4
"5",43163,1922,9,694.6667
"6",461658,26020,2,205.98334
"7",5589,2367,9,722.95
"8",439790,2366,1,104.166664
"9",23950,2364,10,1036.8333
"10",3326,1901,5,322.33334
"11",434388,1899,2,57.2
"12",428145,1901,1,89.05
"13",149274,2362,8,531.1333
"14",51099,3376,10,600.61664
"15",94054,2335,7,273.81668
"16",10448,2366,5,206.06667
"17",17615,2364,6,609.51666
"18",57620,2291,7,600.5167
"19",189241,12791,7,526.8333
"20",443654,12791,1,57.166668
"21",37374,2362,8,772.5166
"22",149159,2364,3,40.216667
"23",100789,1886,5,251.41666
"24",51553,2367,7,320.71664
"25",47447,3376,9,759.6167
"26",42500,1645,7,543.3333
"27",122886,19573,10,941.4333
"28",125285,2366,4,143.96667
"29",25153,1886,7,652.3
"30",52067,3182,7,689.85
"31",43281,1932,9,446.56668
"32",124430,26020,8,668.0667
"33",37251,1922,3,300.84998
"34",447465,26021,2,43.7
"35",40762,1899,3,210.88333
"36",51411,2335,10,788.45
"37",24249,26022,8,611.63336
"38",16789,2366,8,678.5499
"39",120039,1899,2,146.06667
"40",215236,2335,4,311.7
"41",179731,2291,10,539.45
"42",3814,3376,10,977.9666
"43",5207,2291,6,556.7333
"44",6729,2366,6,430.45
"45",124863,19573,9,596.80005
"46",8338,19573,10,961.6833
"47",127952,1880,10,663.60004
"48",95882,1886,1,81.05
"49",51240,2335,6,353.73334
"50",443707,1645,5,298.28333
"51",146263,2364,9,832.05005
"52",51100,2291,4,269.96667
"53",44263,1972,2,98.61667
"54",297731,2367,4,297.95
"55",102899,26021,2,48.766663
"56",40712,1901,6,391.80002
"57",9559,12791,6,326.25
"58",35512,1930,1,14.833333
"59",5219,2366,6,619.0333
"60",442299,1880,2,22.333332
"61",5183,2367,3,103.566666
"62",136037,26021,4,399.40002
"63",13449,1901,1,100.2
"64",98417,1899,8,506.13333
"65",23343,1922,2,94.76667
"66",5478,1645,2,144.08334
"67",11201,1932,7,515.5333
"68",15695,1886,7,497.86664
"69",43151,1930,4,195.56667
"70",177905,1880,5,424
"71",159839,1645,7,589.06665
"72",443550,26020,8,590.9667
"73",44080,1922,6,556.0833
"74",101851,1899,7,435.09998
"75",52065,2335,7,309.41666
"76",203520,1892,9,610.1333
"77",271547,1972,2,115.3
"78",4713,3376,3,37.266666
"79",26381,2335,10,917.7334
"80",124000,26022,10,1023.55005
"81",263243,2291,8,182.45
"82",124465,26020,8,515.7167
"83",26820,26020,3,166.36667
"84",5720,12791,8,777.19995
"85",33444,1645,7,490.11667
"86",69549,2364,10,1036.8333
"87",93110,1892,6,282.33334
"88",461653,26021,4,283.01666
"89",40565,3182,8,729.7667
"90",124504,2366,9,829.18335
"91",124178,1932,10,839.68335
"92",37663,1901,6,423.71667
"93",43228,1930,2,110.86667
"94",5713,2367,9,596.3333
"95",123895,1972,5,342.5
"96",42155,1892,8,601.75
"97",44717,19573,4,326.23334
"98",37002,3182,8,678.74994
"99",24621,1922,6,419.55
"100",37218,1892,6,471.14996
"101",311247,2335,10,816.5834
"102",11184,2291,6,534.94995
"103",434813,19538,10,894.0333
"104",91168,26021,5,167.08334
"105",11165,2362,7,694.48334
"106",217151,1899,2,159.23334
"107",377952,1892,10,425.63333
"108",43133,2291,5,444.66666
"109",443646,12791,3,86.95
"110",396636,19538,2,114.833336
"111",429106,19538,7,565.85
"112",4320,2367,2,59
"113",46161,1886,7,730.55005
"114",30359,1972,7,401.61667
"115",74623,2367,10,600.25
"116",428494,1922,3,188.55
"117",43398,1922,7,259
"118",434714,12791,4,158.31667
"119",425725,26021,6,319.66666
"120",416480,26021,3,110.566666
"121",37814,1886,5,281.21667
"122",8110,2291,3,116.35
"123",34599,2362,6,539.56665
"124",5261,2364,9,893.95
"125",51296,2291,10,750.3
"126",51543,2367,8,322.98334
"127",23889,2364,9,919.75
"128",11223,3182,6,585.6167
"129",43231,1930,6,469.28333
"130",443689,26021,8,537.9667
"131",386448,1901,3,122.566666
"132",37649,1880,9,810.3499
"133",397127,2362,6,529.5333
"134",409740,3182,6,400.59998
"135",5610,1901,5,208
"136",51087,2291,6,404.13333
"137",41183,1901,6,374.93332
"138",42955,1901,1,42.1
"139",12758,3182,8,671.2833
"140",43448,1930,6,528.23334
"141",445301,19538,9,436.75
"142",398886,12791,7,672.0833
"143",163109,3376,4,391.6
"144",126456,1930,5,502.21667
"145",96564,1972,5,176.43332
"146",95057,1899,5,256.25
"147",416748,1901,1,105.066666
"148",125547,1972,8,704.7334
"149",5543,2335,6,332.6167
"150",97666,1972,3,189.65
"151",139438,1932,5,407.1667
"152",15955,19573,9,874.9
"153",25194,1892,8,445.01663
"154",31772,19573,4,169.23334
"155",386101,1645,2,28.8
"156",4353,2291,4,331.13333
"157",354772,1645,5,260.30002
"158",22695,2366,9,568.2333
"159",47163,2364,10,1033.85
"160",5718,2362,2,114.86667
"161",40561,2335,10,1024.9667
"162",222789,12791,5,434.55
"163",25701,26022,10,1011.61664
"164",426895,3376,2,48.06667
"165",40776,1972,4,214.58334
"166",6339,1886,4,404.25
"167",41148,1972,10,989.2833
"168",42137,1880,10,448.5167
"169",102669,3182,7,721.93335
